Root,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_1,Root,Fungi,Ascomycota,Sordariomycetes,Incertae_sedis_7,Glomerellaceae,Colletotrichum,Colletotrichum_acerbum|SH233478.06FU
OTU_2,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Ampelomyces,Ampelomyces_quisqualis|SH222882.06FU
OTU_3,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Cylindrium,Cylindrium_sp|SH189862.06FU
OTU_4,Root,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_unidentified,Dothideomycetes_unidentified_1,Dothideomycetes_unidentified_1,Dothideomycetes_sp|SH216152.06FU
OTU_5,Root,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae_unidentified,Mycosphaerellaceae_sp|SH216154.06FU
OTU_6,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Cylindrium,Cylindrium_sp|SH189862.06FU
OTU_7,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH224125.06FU
OTU_8,Root,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Davidiellaceae,Davidiella,Davidiella_tassiana|SH196750.06FU
OTU_9,Root,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cladorrhinum,Cladorrhinum_phialophoroides|SH230892.06FU
OTU_10,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH241083.06FU
OTU_11,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_eichhorniae|SH224789.06FU
OTU_12,Root,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Erysiphe,Erysiphe_syringae|SH204908.06FU
OTU_13,Root,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae_unidentified,Mycosphaerellaceae_sp|SH225945.06FU
OTU_14,Root,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Immersiporthe,Immersiporthe_knoxdaviesiana|SH226615.06FU
OTU_15,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH215694.06FU
OTU_16,Root,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH225946.06FU
OTU_17,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH194662.06FU
OTU_18,Root,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthales_unidentified,Diaporthales_unidentified_1,Diaporthales_sp|SH236504.06FU
OTU_19,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Cryptococcus_1,Cryptococcus_podzolicus|SH197001.06FU
OTU_20,Root,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Gnomoniaceae,Plagiostoma,Plagiostoma_barriae|SH226091.06FU
OTU_21,Root,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH219629.06FU
OTU_22,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unidentified,Pleosporales_unidentified_1,Pleosporales_sp|SH229317.06FU
OTU_23,Root,Fungi,Ascomycota,Sordariomycetes,Incertae_sedis_7,Glomerellaceae,Glomerella,Glomerella_tucumanensis|SH229539.06FU
OTU_24,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavulinopsis,Clavulinopsis_luteoalba|SH219253.06FU
OTU_25,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH209320.06FU
OTU_26,Root,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetes_unidentified,Archaeorhizomycetes_unidentified_1,Archaeorhizomycetes_unidentified_1,Archaeorhizomycetes_sp|SH240527.06FU
OTU_27,Root,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetes_unidentified,Archaeorhizomycetes_unidentified_1,Archaeorhizomycetes_unidentified_1,Archaeorhizomycetes_sp|SH240668.06FU
OTU_28,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH216151.06FU
OTU_29,Root,Fungi,Basidiomycota,Exobasidiomycetes,Exobasidiales,Exobasidiales_unidentified,Exobasidiales_unidentified_1,Exobasidiales_sp|SH204840.06FU
OTU_30,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Incertae_sedis_13,Periconia,Periconia_sp|SH232015.06FU
OTU_31,Root,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinales_unidentified,Sebacinales_unidentified_1,Sebacinaceae_sp_zzz919|SH217704.06FU
OTU_32,Root,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Cordana,Cordana_solitaria|SH219394.06FU
OTU_33,Root,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariales_unidentified,Xylariales_unidentified_1,Xylariales_sp|SH219146.06FU
OTU_34,Root,Fungi,Ascomycota,Leotiomycetes,Incertae_sedis,Incertae_sedis_1,Geomyces,Geomyces_sp_APA_2013|SH236520.06FU
OTU_35,Root,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Sawadaea,Sawadaea_sp|SH240010.06FU
OTU_36,Root,Fungi,Basidiomycota,Wallemiomycetes,Wallemiales,Wallemiaceae,Wallemia,Wallemia_muriae|SH230275.06FU
OTU_37,Root,Fungi,Basidiomycota,Incertae_sedis_4,Malasseziales,Incertae_sedis_5,Malassezia,Malassezia_restricta|SH206219.06FU
OTU_38,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Lyophyllum,Lyophyllum_decastes|SH232305.06FU
OTU_39,Root,Fungi,Basidiomycota,Incertae_sedis_4,Malasseziales,Incertae_sedis_5,Malassezia,Malassezia_restricta|SH206219.06FU
OTU_40,Root,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Dictyochaeta,Dictyochaeta_simplex|SH223027.06FU
OTU_41,Root,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,Archaeorhizomyces_sp|SH197159.06FU
OTU_42,Root,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,Tuber_lyonii|SH212061.06FU
OTU_43,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Incertae_sedis_3_unidentified,Hypocreales_sp|SH219641.06FU
OTU_44,Root,Fungi,Ascomycota,Dothideomycetes,Myriangiales,Myriangiaceae,Myriangium,Myriangium_sp_CEHS208|SH230447.06FU
OTU_45,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH190182.06FU
OTU_46,Root,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Taphrina_dearnessii|SH215197.06FU
OTU_47,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH216433.06FU
OTU_48,Root,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Phyllosticta,Phyllosticta_sp|SH198090.06FU
OTU_49,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH196234.06FU
OTU_50,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Hydropisphaera,Hydropisphaera_sp|SH235787.06FU
OTU_51,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys_rosea_f._catenulata|SH236629.06FU
OTU_52,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH209179.06FU
OTU_53,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Incertae_sedis_13,Leptosphaerulina,Leptosphaerulina_chartarum|SH227423.06FU
OTU_54,Root,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp|SH218045.06FU
OTU_55,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH213531.06FU
OTU_56,Root,Fungi,Basidiomycota,Exobasidiomycetes,Exobasidiomycetes_unidentified,Exobasidiomycetes_unidentified_1,Exobasidiomycetes_unidentified_1,Exobasidiomycetes_sp|SH199847.06FU
OTU_57,Root,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Rhodotorula,Rhodotorula_bogoriensis|SH211123.06FU
OTU_58,Root,Fungi,Basidiomycota,Exobasidiomycetes,Entylomatales,Entylomataceae,Entyloma,Entyloma_microsporum|SH228434.06FU
OTU_59,Root,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae_sedis_11,Candida,Candida_tropicalis|SH195489.06FU
OTU_60,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH238586.06FU
OTU_61,Root,Fungi,Basidiomycota,Incertae_sedis_4,Malasseziales,Incertae_sedis_5,Malassezia,Malassezia_globosa|SH190404.06FU
OTU_62,Root,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Endoconidioma,Endoconidioma_populi|SH231447.06FU
