OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae		
OTU_2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Ampelomyces	
OTU_3	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
OTU_4	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ramularia	
OTU_5	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ramularia	Ramularia pratensis
OTU_6	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
OTU_7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	
OTU_8	Fungi	Ascomycota	Dothideomycetes				
OTU_9	Fungi	Ascomycota	Sordariomycetes	Myrmecridiales	Xenodactylariaceae	Xenodactylaria	
OTU_10	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
OTU_11	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU_12	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	
OTU_13	Fungi	Ascomycota					
OTU_14	Fungi	Ascomycota	Sordariomycetes	Diaporthales			
OTU_15	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_16	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_17	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU_18	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae		
OTU_19	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	Saitozyma podzolica
OTU_20	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae	Plagiostoma	
OTU_21	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	
OTU_22	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU_23	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	
OTU_24	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavulinopsis	Clavulinopsis luteoalba
OTU_25	Fungi	Ascomycota	Leotiomycetes	Helotiales	Incertae_sedis	Lareunionomyces	
OTU_26	Fungi	Ascomycota	Archaeorhizomycetes				
OTU_27	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	Archaeorhizomyces sp 
OTU_28	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae		
OTU_29	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Exobasidiaceae	Exobasidium	Exobasidium sp 
OTU_30	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia byssoides
OTU_31	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Chaetospermum	Chaetospermum camelliae
OTU_32	Fungi	Ascomycota	Sordariomycetes	Xylariales			
OTU_33	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Dactylaria	Dactylaria acaciae
OTU_34	Fungi	Ascomycota	Leotiomycetes	Rhytismatales	Rhytismataceae	Rhytisma	Rhytisma sp 
OTU_35	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Sawadaea	
OTU_36	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	
OTU_37	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia restricta
OTU_38	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Lyophyllum	Lyophyllum decastes
OTU_39	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	
OTU_40	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Codinaea	Codinaea lambertiae
OTU_41	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	
OTU_42	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	Tuber lyonii
OTU_43	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Gibellulopsis	Gibellulopsis sp 
OTU_44	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Incertae_sedis	Pseudorobillarda	Pseudorobillarda sojae
OTU_45	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae		
OTU_46	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	Taphrina letifera
OTU_47	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Calloria	Calloria sp 
OTU_48	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Phyllostictaceae	Phyllosticta	Phyllosticta minima
OTU_49	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU_50	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
OTU_51	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
OTU_52	Fungi	Ascomycota					
OTU_53	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU_54	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella minutissima
OTU_55	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	
OTU_56	Fungi	Basidiomycota	Exobasidiomycetes	Golubeviales	Golubeviaceae	Golubevia	Golubevia pallescens
