s.Endo,s.Epi,s.Lit,s.Soil,index,stat,p.value
OTU_2,1,1,0,0,5,0.783708086637797,0.0006
OTU_892,0,0,0,1,4,0.547722557505166,0.0186
OTU_785,0,0,0,1,4,0.774596669241483,0.0001
OTU_150,0,1,0,0,2,0.896539182584992,0.0001
OTU_7,1,1,0,0,5,0.479854148862639,0.5751
OTU_10,1,1,1,0,11,0.984426923390619,0.0001
OTU_22,1,1,1,0,11,0.866025403784439,0.0013
OTU_5,1,1,1,0,11,0.986013297183269,0.0001
OTU_19,0,0,0,1,4,0.997339713297053,0.0001
OTU_647,1,1,1,0,11,0.833333333333333,0.0022
OTU_4,1,1,1,0,11,0.985914459466431,0.0001
OTU_71,0,1,1,1,14,0.394377230327257,0.9981
OTU_290,0,0,0,1,4,0.74026032447062,0.0026
OTU_2748,0,1,0,0,2,0.235702260395516,1
OTU_1,1,0,1,0,6,0.898577392227197,0.0025
OTU_79,1,1,1,0,11,0.881917103688197,0.0003
OTU_32,0,0,1,0,3,0.83589209610468,0.0001
OTU_162,0,0,1,0,3,0.547722557505166,0.021
OTU_129,0,0,1,0,3,0.540467633774581,0.0421
OTU_3,0,0,1,0,3,0.829929737296158,0.0014
OTU_23,0,0,1,0,3,0.9246301656516,0.0001
OTU_40,0,0,1,0,3,0.933705361566233,0.0001
OTU_56,0,1,0,0,2,0.957804182416088,0.0001
OTU_11,1,1,1,0,11,0.996858182361686,0.0001
OTU_236,0,1,1,0,8,0.77304964019725,0.0074
OTU_30,1,1,1,0,11,0.942809041582063,0.0002
OTU_1055,0,0,0,1,4,0.316227766016838,0.6091
OTU_41,0,0,0,1,4,0.948683298050514,0.0001
OTU_21,1,0,1,0,6,0.936471603977345,0.005
OTU_58,0,1,0,0,2,0.897815275292315,0.0001
OTU_1047,1,1,1,0,11,0.816496580927726,0.0074
OTU_76,0,0,0,1,4,0.547507553548892,0.022
OTU_243,0,0,1,0,3,0.547722557505166,0.0195
OTU_134,0,0,1,0,3,0.703167436990966,0.0023
OTU_764,0,1,0,0,2,0.536328308170952,0.0912
OTU_55,1,0,1,0,6,0.520603531858148,0.121
OTU_93,0,0,0,1,4,0.89266823710291,0.0001
OTU_52,0,0,1,0,3,0.88872105817117,0.0001
OTU_28,1,1,1,0,11,0.866025403784439,0.0004
OTU_108,0,1,0,0,2,0.909025923429912,0.0001
OTU_446,0,0,0,1,4,0.316227766016838,0.6187
OTU_1056,0,0,0,1,4,0.547722557505166,0.0186
OTU_47,1,1,1,0,11,0.763762615825973,0.0151
OTU_13,0,0,1,0,3,0.705365850893391,0.0021
OTU_169,0,0,0,1,4,0.316227766016838,0.6101
OTU_2448,0,0,1,0,3,0.316227766016838,0.6121
OTU_2600,0,0,0,1,4,0.316227766016838,0.6137
OTU_461,1,1,0,0,5,0.772297486979078,0.0304
OTU_726,0,1,1,1,14,0.628280862437543,0.118
OTU_26,0,0,0,1,4,0.632455532033676,0.0033
OTU_499,0,0,1,1,10,0.547722557505166,0.056
OTU_168,0,1,1,0,8,0.707106781186548,0.007
OTU_230,0,1,0,0,2,0.738806272932788,0.0187
OTU_12,0,1,0,0,2,0.652124515635593,0.0315
OTU_9,0,0,1,0,3,0.447213595499958,0.1132
OTU_368,0,1,1,0,8,0.534522483824849,0.1258
OTU_397,1,1,0,0,5,0.501583821244208,0.2335
OTU_87,1,0,1,0,6,0.833513455097748,0.0023
OTU_737,0,0,1,0,3,0.503115294937453,0.0517
OTU_8,1,1,1,0,11,0.984411597965361,0.0001
OTU_82,0,1,1,0,8,0.926816747099344,0.0001
OTU_131,0,1,1,0,8,0.673627839650373,0.035
OTU_449,0,0,0,1,4,0.316227766016838,0.6101
OTU_189,1,1,0,0,5,0.890737403836437,0.0001
OTU_85,0,0,0,1,4,0.893694954126461,0.0001
OTU_1367,0,0,0,1,4,0.447213595499958,0.1112
OTU_29,1,1,1,0,11,0.942809041582063,0.0002
OTU_48,1,0,0,0,1,0.819404088878549,0.0005
OTU_17,0,0,1,1,10,0.5,0.0937
OTU_63,0,0,0,1,4,0.547722557505166,0.0186
OTU_652,0,0,0,1,4,0.707106781186548,0.0007
OTU_24,0,0,0,1,4,0.545614500104472,0.041
OTU_304,1,0,1,0,6,0.401713282002076,0.3799
OTU_2095,0,0,0,1,4,0.316227766016838,0.6153
OTU_15,0,0,1,1,10,0.316227766016838,0.582
OTU_432,0,0,1,0,3,0.707106781186548,0.0002
OTU_25,0,0,1,0,3,0.447213595499958,0.1112
OTU_1541,0,0,0,1,4,0.316227766016838,0.6101
OTU_42,0,0,0,1,4,0.547722557505166,0.022
OTU_90,0,0,0,1,4,0.547722557505166,0.0189
OTU_178,0,1,1,0,8,0.816717047134236,0.0003
OTU_218,0,0,0,1,4,0.447213595499958,0.1093
OTU_1200,0,1,1,0,8,0.422577127364258,0.3846
OTU_45,0,0,1,0,3,0.724084337865587,0.0143
OTU_1167,0,0,0,1,4,0.547722557505166,0.0186
OTU_295,0,0,0,1,4,0.445181455698021,0.2515
OTU_191,0,1,0,0,2,0.836499176772609,0.0001
OTU_597,1,1,1,0,11,0.577350269189626,0.211
OTU_488,0,0,1,0,3,0.632455532033676,0.0026
OTU_31,0,0,1,0,3,0.774596669241483,0.0002
OTU_906,0,1,1,0,8,0.5,0.1315
OTU_222,0,0,1,0,3,0.547722557505166,0.0197
OTU_378,0,0,0,1,4,1,0.0001
OTU_115,0,0,1,0,3,0.771035286380615,0.0004
OTU_73,0,0,1,0,3,0.445852211533009,0.1223
OTU_326,0,0,1,0,3,0.316227766016838,0.6016
OTU_18,1,0,1,0,6,0.620274028583048,0.0864
OTU_358,1,0,1,0,6,0.709609821867468,0.0396
OTU_112,0,0,1,0,3,0.895012357690579,0.0001
OTU_260,0,0,0,1,4,0.316227766016838,0.6101
OTU_411,1,0,1,0,6,0.398313753407846,0.1771
OTU_219,0,1,1,0,8,0.831535672542027,0.0004
OTU_149,0,1,0,0,2,0.946783621222278,0.0001
OTU_2885,1,0,1,0,6,0.655624509175672,0.0716
OTU_57,0,0,1,0,3,0.630378041918023,0.0054
OTU_145,0,0,1,1,10,0.547722557505166,0.0441
OTU_155,0,0,0,1,4,0.948683298050514,0.0001
OTU_671,1,0,1,0,6,0.31889640207164,0.757
OTU_381,0,1,0,0,2,0.789760648165375,0.0006
OTU_181,0,0,0,1,4,0.447213595499958,0.1103
OTU_125,1,1,1,0,11,0.897527467855751,0.0001
OTU_91,1,0,0,0,1,0.790423876709263,0.0001
OTU_106,0,0,1,0,3,0.877602606766711,0.0001
OTU_33,0,0,1,0,3,0.547245239281601,0.0226
OTU_120,0,0,0,1,4,0.773531931048517,0.0001
OTU_417,1,1,0,0,5,0.602916613452255,0.125
OTU_121,0,0,1,1,10,0.774596669241483,0.0015
OTU_828,0,1,1,0,8,0.597614304667197,0.0319
OTU_50,0,0,1,0,3,0.703080152916249,0.0012
OTU_118,0,0,1,0,3,0.835954520019762,0.0002
OTU_282,0,0,1,1,10,0.791339279261924,0.0007
OTU_67,0,0,1,0,3,0.683709970788195,0.0078
OTU_186,0,1,0,0,2,0.778392380757538,0.0025
OTU_68,0,1,1,0,8,0.950740786574899,0.0001
OTU_399,0,0,0,1,4,0.544297117042657,0.0213
OTU_60,0,0,1,0,3,0.547722557505166,0.021
OTU_182,0,0,1,0,3,0.607918758874329,0.0131
OTU_338,0,1,1,0,8,0.794479136254928,0.0004
OTU_359,1,1,1,0,11,0.523194486146798,0.4355
OTU_16,0,0,1,0,3,0.83391318721679,0.0003
OTU_83,1,0,0,0,1,0.874224482898926,0.0006
OTU_44,0,0,1,0,3,0.632455532033676,0.0032
OTU_274,0,0,1,0,3,0.316227766016838,0.6069
OTU_35,1,1,0,0,5,0.784464540552736,0.0018
OTU_49,1,1,1,0,11,0.798610977126063,0.0133
OTU_946,0,0,0,1,4,0.632455532033676,0.0033
OTU_209,0,0,0,1,4,0.547722557505166,0.0184
OTU_123,0,0,1,0,3,0.628514960761175,0.0071
OTU_126,0,0,0,1,4,0.824707126179731,0.0002
OTU_415,0,0,1,0,3,0.547722557505166,0.0172
OTU_363,0,1,1,0,8,0.654653670707977,0.017
OTU_43,0,0,1,0,3,0.869851959964338,0.0003
OTU_27,0,0,0,1,4,0.547722557505166,0.0186
OTU_20,1,0,0,0,1,0.771914093577119,0.013
