s.Endo Acer rubrum,s.Endo Carya ovata,s.Epi Acer rubrum,s.Epi Carya ovata,s.Lit Acer rubrum,s.Lit Carya ovata,s.Soil Acer rubrum,s.Soil Carya ovata,index,stat,p.value
OTU_2,0,0,1,0,0,0,0,0,3,0.758688945452496,0.0113192307692308
OTU_892,0,0,0,0,0,0,0,1,8,0.596284793999944,0.32445368852459
OTU_785,0,0,0,0,0,0,0,1,8,0.8238858408711,0.0712515789473684
OTU_150,0,0,1,0,0,0,0,0,3,0.763633634550744,0.04782375
OTU_7,0,0,1,0,0,0,0,0,3,0.470150654883352,0.887354736328125
OTU_10,1,0,0,0,0,0,0,0,1,0.628066943172766,0.0267545454545455
OTU_22,0,0,0,0,0,1,0,0,6,0.632728613018782,0.333423214285714
OTU_5,0,0,0,1,0,0,0,0,4,0.53053403902152,0.24157125
OTU_19,0,0,0,0,0,0,0,1,8,0.7347456853253,0.121287272727273
OTU_647,0,1,0,0,0,0,0,0,2,0.683946661691769,0.19143786407767
OTU_4,0,0,0,1,0,0,0,0,4,0.495628883543434,0.566786306532663
OTU_71,0,0,1,0,0,0,0,0,3,0.320750149549792,1
OTU_290,0,0,0,0,0,0,1,0,7,0.612966683711118,0.467963513513514
OTU_2748,0,0,1,0,0,0,0,0,3,0.333333333333333,1
OTU_1,0,1,0,0,0,0,0,0,2,0.763142255937058,0.094439552238806
OTU_79,0,0,1,0,0,0,0,0,3,0.568889916986122,0.602972790697674
OTU_32,0,0,0,0,0,1,0,0,6,0.866660397444568,0.0867133928571429
OTU_162,0,0,0,0,1,0,0,0,5,0.774596669241483,0.107018181818182
OTU_129,0,0,0,0,1,0,0,0,5,0.610316944289418,0.541637234042553
OTU_3,0,0,0,0,1,0,0,0,5,0.990579792719077,0.0608896551724138
OTU_23,0,0,0,0,0,1,0,0,6,0.830034532487044,0.0885504424778761
OTU_40,0,0,0,0,0,1,0,0,6,0.65756700510076,0.333423214285714
OTU_56,0,0,0,1,0,0,0,0,4,0.908261153175903,0.0113192307692308
OTU_11,0,1,0,0,0,0,0,0,2,0.50488549747335,0.714855589123867
OTU_236,0,0,1,0,0,0,0,0,3,0.642332406540101,0.368683516483517
OTU_30,0,0,0,0,0,1,0,0,6,0.792879512468083,0.11772
OTU_1055,0,0,0,0,0,0,1,0,7,0.447213595499958,0.887354736328125
OTU_41,0,0,0,0,0,0,1,0,7,0.797382535626724,0.115484810126582
OTU_21,0,0,0,0,0,1,0,0,6,0.843198612321622,0.32123593220339
OTU_58,0,0,0,1,0,0,0,0,4,0.834216056696203,0.0420428571428571
OTU_1047,0,0,0,1,0,0,0,0,4,0.657318849614948,0.418268835616438
OTU_76,0,0,0,0,0,0,0,1,8,0.560891866609115,0.53941885026738
OTU_243,0,0,0,0,1,0,0,0,5,0.552679423766206,0.467963513513514
OTU_134,0,0,0,0,0,1,0,0,6,0.6,0.660463953488372
OTU_764,0,0,1,0,0,0,0,0,3,0.628339919716654,0.324931224489796
OTU_55,0,0,0,0,0,1,0,0,6,0.567939708306378,0.630182365826944
OTU_93,0,0,0,0,0,0,0,1,8,0.774850261217255,0.0867133928571429
