"","Genus","gen_sum"
"1","Ampelomyces",0.138373270334121
"2","Archaeorhizomyces",0
"3","Clavulinopsis",0.0134998312521093
"4","Colletotrichum",0.955113061086736
"5","Dothiora",0.840364495443807
"6","Erysiphe",0
"7","Exobasidium",0.728990887613905
"8","Golubevia",0.141748228147148
"9","Hansfordia",0.587242659466757
"10","Inocybe",0.0168747890651367
"11","Lareunionomyces",4.31319608504894
"12","Mortierella",0.010124873439082
"13","Mycosphaerella",0.030374620317246
"14","Paraphaeosphaeria",0.010124873439082
"15","Periconia",0.0506243671954101
"16","Phyllosticta",0.739115761052987
"17","Plagiostoma",0.536618292271347
"18","Plectosphaerella",0.104623692203847
"19","Ramularia",3.99257509281134
"20","Rhytisma",0.809989875126561
"21","Russula",0.00337495781302734
"22","Saitozyma",0.0472494093823827
"23","Sawadaea",0
"24","Scleroramularia",0.020249746878164
"25","Seimatosporium",0.0911238609517381
"26","Sphaerulina",0
"27","Taphrina",0.0607492406344921
"28","Tomentella",0
"29","Tuber",0
"30","Xenodactylaria",0
"31","Other",85.7576780290246
