"","Genus","gen_sum"
"1","Ampelomyces",0
"2","Archaeorhizomyces",10.7998650016875
"3","Clavulinopsis",2.6290921363483
"4","Colletotrichum",0.00674991562605467
"5","Dothiora",0.0134998312521093
"6","Erysiphe",0
"7","Exobasidium",0
"8","Golubevia",0
"9","Hansfordia",0
"10","Inocybe",9.06851164360446
"11","Lareunionomyces",0
"12","Mortierella",7.06041174485319
"13","Mycosphaerella",0
"14","Paraphaeosphaeria",0.00674991562605467
"15","Periconia",0
"16","Phyllosticta",0
"17","Plagiostoma",0
"18","Plectosphaerella",0.0269996625042187
"19","Ramularia",0.00337495781302734
"20","Rhytisma",0
"21","Russula",2.54471819102261
"22","Saitozyma",4.3334458319271
"23","Sawadaea",0
"24","Scleroramularia",0
"25","Seimatosporium",0
"26","Sphaerulina",0
"27","Taphrina",0.00337495781302734
"28","Tomentella",1.59635504556193
"29","Tuber",3.29058386770165
"30","Xenodactylaria",0
"31","Other",58.6162672966588
