"","Genus","gen_sum"
"1","Ampelomyces",0
"2","Archaeorhizomyces",0.0056249296883789
"3","Clavulinopsis",0
"4","Colletotrichum",0.224997187535156
"5","Dothiora",0
"6","Erysiphe",0.725615929800878
"7","Exobasidium",0.410619867251659
"8","Golubevia",0.0168747890651367
"9","Hansfordia",0.106873664079199
"10","Inocybe",0
"11","Lareunionomyces",0
"12","Mortierella",0
"13","Mycosphaerella",1.46248171897851
"14","Paraphaeosphaeria",0.0056249296883789
"15","Periconia",0.736865789177635
"16","Phyllosticta",0.0112498593767578
"17","Plagiostoma",0
"18","Plectosphaerella",1.0124873439082
"19","Ramularia",16.5654179322758
"20","Rhytisma",0.0112498593767578
"21","Russula",0
"22","Saitozyma",0
"23","Sawadaea",0
"24","Scleroramularia",0
"25","Seimatosporium",0.0449994375070312
"26","Sphaerulina",5.12993587580155
"27","Taphrina",0
"28","Tomentella",0
"29","Tuber",0
"30","Xenodactylaria",0
"31","Other",73.5290808864889
