"","Genus","gen_sum"
"1","Ampelomyces",0.00337495781302734
"2","Archaeorhizomyces",13.3918326020925
"3","Clavulinopsis",6.33817077286534
"4","Colletotrichum",0.00674991562605467
"5","Dothiora",0
"6","Erysiphe",0
"7","Exobasidium",0
"8","Golubevia",0
"9","Hansfordia",0
"10","Inocybe",3.61795477556531
"11","Lareunionomyces",0
"12","Mortierella",9.35875801552481
"13","Mycosphaerella",0
"14","Paraphaeosphaeria",0.00337495781302734
"15","Periconia",0
"16","Phyllosticta",0
"17","Plagiostoma",0.010124873439082
"18","Plectosphaerella",0.15187310158623
"19","Ramularia",0.00337495781302734
"20","Rhytisma",0
"21","Russula",3.61120485993925
"22","Saitozyma",5.14343570705366
"23","Sawadaea",0
"24","Scleroramularia",0
"25","Seimatosporium",0
"26","Sphaerulina",0
"27","Taphrina",0
"28","Tomentella",1.05973675329058
"29","Tuber",5.26830914613567
"30","Xenodactylaria",0
"31","Other",52.0317246034425
