"","Genus","acer_endo","acer_epi","acer_lit","acer_soil","carya_endo","carya_epi","carya_lit","carya_soil"
"1","Not assigned",32.2780965237935,16.6779165260434,61.1981100236247,35.9601754978063,69.3103836202047,29.0546368170398,50.9247384407695,28.393520080999
"2","Abortiporus",0,0,0,0.00674991562605467,0,0.00187497656279296,0,0
"3","Absconditella",0,0,0,0,0,0.0224997187535156,0,0
"4","Acanthostigma",0,0,0,0,0,0,0,0.00337495781302734
"5","Acaromyces",0,0.0224997187535156,0.0134998312521093,0,0,0.0412494843814452,0,0
"6","Acaulospora",0,0,0,0.0269996625042187,0,0,0,0.0438744515693554
"7","Acericola",0,0,0,0,0,0,0,0
"8","Acremonium",0,0.0299996250046874,0.850489368882889,0.26662166722916,0.0674991562605468,0.0356245546930663,0.330745865676679,0.0742490718866014
"9","Acrodontium",0,0.0131248359395508,0,0,0,0.0168747890651367,0.0168747890651367,0
"10","Acrospermum",0,0,0,0,0,0,0.00337495781302734,0
"11","Agaricus",0,0,0,0,0,0,0,0
"12","Agrocybe",0,0,0,0.340870739115761,0,0,0,0.0674991562605467
"13","Alatosessilispora",0,0,0,0,0,0.0056249296883789,0,0
"14","Alatospora",0,0,0.833614579817752,0.0134998312521093,0,0,0.0573742828214647,0.172122848464394
"15","Alfaria",0,0,0,0,0,0.00187497656279296,0,0
"16","Alternaria",0.138373270334121,0.0281246484418945,0,0,0,0.0168747890651367,0.010124873439082,0
"17","Amanita",0,0.00187497656279296,0,0.00337495781302734,0,0.00749990625117186,0,0.00674991562605467
"18","Ambispora",0,0.0356245546930663,0,0,0,0.00374995312558593,0,0
"19","Ampelomyces",24.1511981100236,38.851389357633,0.138373270334121,0,0,4.53744328195898,0.030374620317246,0.00337495781302734
"20","Amyloxenasma",0,0.00374995312558593,0,0,0,0,0,0
"21","Angustimassarina",0.705366182922713,0.0787490156373045,0.0674991562605467,0.00337495781302734,0.0506243671954101,0.0656241796977538,0.0877489031387108,0
"22","Anhellia",0,0.00187497656279296,0,0,0.0056249296883789,0.00187497656279296,0,0
"23","Anthopsis",0,0,0,0.0742490718866014,0,0,0,0.010124873439082
"24","Antrodiella",0,0,0.00337495781302734,0,0,0,0,0
"25","Apiotrichum",0,0,0.030374620317246,0.661491731353358,0,0,0.0472494093823827,1.08336145798178
"26","Apodus",0,0,0.020249746878164,1.4444819439757,0,0,0,1.00573742828215
"27","Arachnopeziza",0,0,0.00337495781302734,0,0,0,0,0
"28","Archaeorhizomyces",0,0.262496718791015,0,10.7998650016875,0.0056249296883789,0.00187497656279296,0.00674991562605467,13.3918326020925
